"GEOID";"Mean income (dollar)";"Median income (dollar)"
"26163500100";40613;31944
"26163500200";43363;33068
"26163500300";30056;21525
"26163500400";28102;22364
"26163500500";40399;30302
"26163500600";32718;25544
"26163500700";37209;27237
"26163500800";35083;25074
"26163500900";43782;31410
"26163501000";35618;25329
"26163501100";41550;34773
"26163501200";39391;29781
"26163501300";31164;22959
"26163501400";56847;38190
"26163501500";44893;40120
"26163501600";40880;25550
"26163501700";25526;20603
"26163501800";59938;49291
"26163501900";38362;23777
"26163502000";37504;32793
"26163503100";48213;37674
"26163503200";33596;27750
"26163503300";32961;28659
"26163503400";37319;29122
"26163503500";32196;25690
"26163503600";34019;24297
"26163503900";41864;33384
"26163504000";35520;32519
"26163504100";31020;16856
"26163504200";38980;32375
"26163504300";32946;26759
"26163504400";32347;21743
"26163504700";24563;21021
"26163504800";28955;18150
"26163504900";41788;26901
"26163505000";38630;32431
"26163505100";37429;22273
"26163505200";33868;24627
"26163505400";28339;23026
"26163505500";23069;18616
"26163506100";35407;27891
"26163506200";34189;25758
"26163506300";34828;27846
"26163506400";28195;22589
"26163506500";28142;18232
"26163506600";32747;26528
"26163506700";55695;35202
"26163506800";41268;32702
"26163506900";33632;32563
"26163507000";35710;23594
"26163507100";46334;26064
"26163507200";34695;22583
"26163507300";40086;31000
"26163507400";56156;41522
"26163507500";33050;23657
"26163507800";30102;24286
"26163507900";35207;22632
"26163508000";26244;15636
"26163508100";26468;19977
"26163510400";32419;23510
"26163510500";27471;18163
"26163510600";27195;21770
"26163510700";24480;17188
"26163511000";26108;19931
"26163511200";25442;19283
"26163511300";29460;20227
"26163511400";34247;23000
"26163511900";26564;14050
"26163512100";34171;22296
"26163512200";15009;11398
"26163512300";21546;11713
"26163512400";26764;19539
"26163512600";33436;20417
"26163512900";24632;18088
"26163513200";38008;34740
"26163513300";43598;28164
"26163513600";36409;22019
"26163513700";35028;23125
"26163513900";23310;18554
"26163514100";39419;15134
"26163514200";22247;15445
"26163514300";27109;17281
"26163514500";24737;20000
"26163515200";29807;26019
"26163515300";29515;13562
"26163515400";93221;70729
"26163515600";30997;19920
"26163515700";44242;30136
"26163515900";28266;16563
"26163516000";39508;27255
"26163516100";22890;15139
"26163516200";25428;14073
"26163516300";26056;21442
"26163516400";45841;44219
"26163516500";58962;44844
"26163516600";23650;15976
"26163516700";34039;20525
"26163516800";50960;23859
"26163516900";42350;22692
"26163517000";42043;35959
"26163517100";44272;31732
"26163517200";59141;44712
"26163517300";45660;24138
"26163517500";19031;12390
"26163518000";43908;19286
"26163518400";39685;18813
"26163518500";26724;20000
"26163518600";28308;17891
"26163518800";27950;20913
"26163518900";18721;12019
"26163520200";35032;21139
"26163520300";39337;15625
"26163520400";38789;16042
"26163520700";41977;21109
"26163520800";79068;47449
"26163521100";51369;31964
"26163521300";36860;38654
"26163521400";56067;41688
"26163521500";24372;17045
"26163521800";22455;12788
"26163521900";33846;19478
"26163522000";29372;14599
"26163522100";27555;21979
"26163522200";36320;20882
"26163522300";15787;10757
"26163522400";22551;17978
"26163522500";20926;8733
"26163523100";42049;26480
"26163523200";35130;29864
"26163523300";40813;28620
"26163523400";30120;18750
"26163523800";35636;30195
"26163524000";32248;18580
"26163524100";33097;21016
"26163524200";42938;30330
"26163524300";36371;30344
"26163524500";27348;26964
"26163524700";34998;25296
"26163524800";31072;20881
"26163524900";30458;24554
"26163525000";32261;23221
"26163525400";30204;22139
"26163525500";25484;23375
"26163525600";31066;25313
"26163525700";36812;29014
"26163525800";22771;14805
"26163526000";26562;21806
"26163526100";37870;29000
"26163526200";34681;33081
"26163526300";37755;35025
"26163526400";33259;30288
"26163526500";36611;24491
"26163527200";33655;23333
"26163527300";15713;14779
"26163530100";31036;23661
"26163530200";40809;29694
"26163530300";25542;17295
"26163530400";51182;20063
"26163530500";42352;37443
"26163530800";31538;18417
"26163530900";27993;14450
"26163531100";15585;11096
"26163531200";57563;42833
"26163531300";35350;28125
"26163531400";37976;30735
"26163531500";30031;22083
"26163531600";33025;26857
"26163531700";18466;15978
"26163531800";26821;18320
"26163531900";24872;14500
"26163532200";39753;24781
"26163532300";70976;58333
"26163532400";25344;14340
"26163532600";24328;13750
"26163532700";21316;14957
"26163533000";34105;23542
"26163533100";37467;18575
"26163533200";29819;26221
"26163533300";43391;16351
"26163533400";25744;14948
"26163533500";29025;24281
"26163533600";35647;27457
"26163533700";30376;20417
"26163533900";33622;22813
"26163534100";24698;19039
"26163534200";31640;20625
"26163534300";32320;17379
"26163534400";25148;20573
"26163534500";21363;12135
"26163534600";24781;20469
"26163534700";34044;27643
"26163535000";31840;24073
"26163535100";34819;25133
"26163535200";30620;20296
"26163535300";40828;32727
"26163535400";28436;20946
"26163535500";35298;22973
"26163535600";46995;38750
"26163535700";32166;26182
"26163536100";29697;17260
"26163536200";39983;32702
"26163536300";27774;26074
"26163536400";35621;27536
"26163536500";39924;23346
