"GEOID";"Mean income (dollar)";"Median income (dollar)"
"26163536600";29148;26425
"26163536700";28993;20133
"26163536800";34386;26611
"26163536900";37222;23523
"26163537000";40693;29099
"26163537100";32751;28185
"26163537200";27739;20000
"26163537300";35117;24866
"26163537500";46657;35559
"26163537600";45561;31563
"26163537700";37429;29681
"26163537800";36988;24695
"26163538100";59723;50029
"26163538200";143140;103587
"26163538300";42625;27724
"26163538400";96711;83406
"26163538500";44010;36006
"26163538600";56863;42417
"26163538700";36775;30211
"26163538800";46310;37200
"26163538900";56906;44574
"26163539000";33106;25461
"26163539100";34679;25625
"26163539200";36699;25510
"26163539300";48105;32727
"26163539400";40810;33450
"26163539500";46295;36788
"26163539600";45875;39659
"26163539700";37600;24250
"26163540100";34085;27950
"26163540200";33476;24207
"26163540300";43747;34216
"26163540400";35047;21538
"26163540500";38921;33750
"26163540600";50472;43875
"26163540700";54796;41250
"26163540800";40263;28849
"26163540900";43140;34067
"26163541000";35395;21361
"26163541100";33527;21616
"26163541200";27451;18551
"26163541300";39375;26667
"26163541400";41913;34191
"26163541500";43468;36250
"26163541700";31931;17723
"26163541800";41481;28125
"26163542100";43659;33026
"26163542200";36566;28796
"26163542300";46105;28750
"26163542400";40421;32945
"26163542500";52611;55183
"26163542600";43236;29341
"26163542700";35027;26667
"26163542800";55825;45262
"26163542900";67516;61803
"26163543000";79150;69375
"26163543100";75342;70545
"26163543200";41287;33363
"26163543400";38693;31618
"26163543500";23885;13977
"26163543600";26732;14342
"26163543700";27663;17037
"26163543800";17286;16115
"26163543900";30557;25987
"26163544000";41857;38131
"26163544100";43270;40559
"26163544200";25832;14464
"26163544300";39225;24710
"26163545100";34615;24659
"26163545200";32396;23938
"26163545300";32859;26369
"26163545400";19278;13448
"26163545500";27755;20808
"26163545600";26587;19679
"26163545700";33513;24386
"26163545800";33009;23218
"26163545900";30365;21296
"26163546000";36209;27396
"26163546100";41837;25440
"26163546200";52317;46536
"26163546300";49714;43547
"26163546400";29869;24583
"26163546500";34133;25650
"26163546600";29326;19590
"26163546700";40694;32681
"26163546800";30317;17841
"26163546900";35747;35625
"26163985100";36715;19688
