"GEOID";"NAME";"Population"
"26163500100";"Census Tract 5001; Wayne County; Michigan";3622
"26163500200";"Census Tract 5002; Wayne County; Michigan";2549
"26163500300";"Census Tract 5003; Wayne County; Michigan";1679
"26163500400";"Census Tract 5004; Wayne County; Michigan";1223
"26163500500";"Census Tract 5005; Wayne County; Michigan";1170
"26163500600";"Census Tract 5006; Wayne County; Michigan";2704
"26163500700";"Census Tract 5007; Wayne County; Michigan";4318
"26163500800";"Census Tract 5008; Wayne County; Michigan";2462
"26163500900";"Census Tract 5009; Wayne County; Michigan";3877
"26163501000";"Census Tract 5010; Wayne County; Michigan";3056
"26163501100";"Census Tract 5011; Wayne County; Michigan";2835
"26163501200";"Census Tract 5012; Wayne County; Michigan";1310
"26163501300";"Census Tract 5013; Wayne County; Michigan";3431
"26163501400";"Census Tract 5014; Wayne County; Michigan";3305
"26163501500";"Census Tract 5015; Wayne County; Michigan";4303
"26163501600";"Census Tract 5016; Wayne County; Michigan";1868
"26163501700";"Census Tract 5017; Wayne County; Michigan";1756
"26163501800";"Census Tract 5018; Wayne County; Michigan";4396
"26163501900";"Census Tract 5019; Wayne County; Michigan";2581
"26163502000";"Census Tract 5020; Wayne County; Michigan";1901
"26163502600";"Census Tract 5026; Wayne County; Michigan";3399
"26163502700";"Census Tract 5027; Wayne County; Michigan";2395
"26163503100";"Census Tract 5031; Wayne County; Michigan";3126
"26163503200";"Census Tract 5032; Wayne County; Michigan";2315
"26163503300";"Census Tract 5033; Wayne County; Michigan";3225
"26163503400";"Census Tract 5034; Wayne County; Michigan";714
"26163503500";"Census Tract 5035; Wayne County; Michigan";1964
"26163503600";"Census Tract 5036; Wayne County; Michigan";1420
"26163503900";"Census Tract 5039; Wayne County; Michigan";2098
"26163504000";"Census Tract 5040; Wayne County; Michigan";1119
"26163504100";"Census Tract 5041; Wayne County; Michigan";1367
"26163504200";"Census Tract 5042; Wayne County; Michigan";1841
"26163504300";"Census Tract 5043; Wayne County; Michigan";1969
"26163504400";"Census Tract 5044; Wayne County; Michigan";1690
"26163505100";"Census Tract 5051; Wayne County; Michigan";2889
"26163505200";"Census Tract 5052; Wayne County; Michigan";3373
"26163505400";"Census Tract 5054; Wayne County; Michigan";1954
"26163505600";"Census Tract 5056; Wayne County; Michigan";4246
"26163505700";"Census Tract 5057; Wayne County; Michigan";3119
"26163505800";"Census Tract 5058; Wayne County; Michigan";3436
"26163506100";"Census Tract 5061; Wayne County; Michigan";1986
"26163506200";"Census Tract 5062; Wayne County; Michigan";2111
"26163506300";"Census Tract 5063; Wayne County; Michigan";1594
"26163506400";"Census Tract 5064; Wayne County; Michigan";1529
"26163506500";"Census Tract 5065; Wayne County; Michigan";1848
"26163506600";"Census Tract 5066; Wayne County; Michigan";2849
"26163506700";"Census Tract 5067; Wayne County; Michigan";1249
"26163506800";"Census Tract 5068; Wayne County; Michigan";4267
"26163506900";"Census Tract 5069; Wayne County; Michigan";3450
"26163507000";"Census Tract 5070; Wayne County; Michigan";2740
"26163507100";"Census Tract 5071; Wayne County; Michigan";1718
"26163507200";"Census Tract 5072; Wayne County; Michigan";1342
"26163507300";"Census Tract 5073; Wayne County; Michigan";1608
"26163507400";"Census Tract 5074; Wayne County; Michigan";2639
"26163507500";"Census Tract 5075; Wayne County; Michigan";2060
"26163508000";"Census Tract 5080; Wayne County; Michigan";1143
"26163508100";"Census Tract 5081; Wayne County; Michigan";1456
"26163509000";"Census Tract 5090; Wayne County; Michigan";1463
"26163509100";"Census Tract 5091; Wayne County; Michigan";4476
"26163510600";"Census Tract 5106; Wayne County; Michigan";5171
"26163511200";"Census Tract 5112; Wayne County; Michigan";1149
"26163511300";"Census Tract 5113; Wayne County; Michigan";2772
"26163511400";"Census Tract 5114; Wayne County; Michigan";1877
"26163511900";"Census Tract 5119; Wayne County; Michigan";1104
"26163512800";"Census Tract 5128; Wayne County; Michigan";2441
"26163513200";"Census Tract 5132; Wayne County; Michigan";1553
"26163513300";"Census Tract 5133; Wayne County; Michigan";2282
"26163513700";"Census Tract 5137; Wayne County; Michigan";3324
"26163513800";"Census Tract 5138; Wayne County; Michigan";2498
"26163513900";"Census Tract 5139; Wayne County; Michigan";1509
"26163514100";"Census Tract 5141; Wayne County; Michigan";2403
"26163514200";"Census Tract 5142; Wayne County; Michigan";1795
"26163514300";"Census Tract 5143; Wayne County; Michigan";2668
"26163514500";"Census Tract 5145; Wayne County; Michigan";744
"26163515200";"Census Tract 5152; Wayne County; Michigan";1448
"26163515300";"Census Tract 5153; Wayne County; Michigan";3270
"26163515400";"Census Tract 5154; Wayne County; Michigan";1471
"26163515700";"Census Tract 5157; Wayne County; Michigan";3034
"26163516000";"Census Tract 5160; Wayne County; Michigan";2408
"26163516400";"Census Tract 5164; Wayne County; Michigan";893
"26163516500";"Census Tract 5165; Wayne County; Michigan";2095
"26163516600";"Census Tract 5166; Wayne County; Michigan";2051
"26163516700";"Census Tract 5167; Wayne County; Michigan";3109
"26163516800";"Census Tract 5168; Wayne County; Michigan";992
"26163516900";"Census Tract 5169; Wayne County; Michigan";2253
"26163517000";"Census Tract 5170; Wayne County; Michigan";2896
"26163517100";"Census Tract 5171; Wayne County; Michigan";1180
"26163517200";"Census Tract 5172; Wayne County; Michigan";2332
"26163517300";"Census Tract 5173; Wayne County; Michigan";2286
"26163517500";"Census Tract 5175; Wayne County; Michigan";2580
"26163518000";"Census Tract 5180; Wayne County; Michigan";2480
"26163518900";"Census Tract 5189; Wayne County; Michigan";1926
"26163519000";"Census Tract 5190; Wayne County; Michigan";852
"26163519100";"Census Tract 5191; Wayne County; Michigan";1085
"26163519200";"Census Tract 5192; Wayne County; Michigan";1610
"26163519300";"Census Tract 5193; Wayne County; Michigan";1598
"26163520200";"Census Tract 5202; Wayne County; Michigan";2681
"26163520300";"Census Tract 5203; Wayne County; Michigan";2488
"26163520400";"Census Tract 5204; Wayne County; Michigan";1607
"26163520700";"Census Tract 5207; Wayne County; Michigan";2879
"26163520800";"Census Tract 5208; Wayne County; Michigan";1548
"26163521100";"Census Tract 5211; Wayne County; Michigan";1598
"26163521400";"Census Tract 5214; Wayne County; Michigan";1207
"26163521500";"Census Tract 5215; Wayne County; Michigan";1133
"26163521800";"Census Tract 5218; Wayne County; Michigan";1758
"26163521900";"Census Tract 5219; Wayne County; Michigan";2778
"26163522000";"Census Tract 5220; Wayne County; Michigan";1647
"26163522300";"Census Tract 5223; Wayne County; Michigan";1177
"26163522400";"Census Tract 5224; Wayne County; Michigan";882
"26163522500";"Census Tract 5225; Wayne County; Michigan";1733
"26163522800";"Census Tract 5228; Wayne County; Michigan";1359
"26163523100";"Census Tract 5231; Wayne County; Michigan";1347
"26163523200";"Census Tract 5232; Wayne County; Michigan";2984
"26163523300";"Census Tract 5233; Wayne County; Michigan";2922
"26163523400";"Census Tract 5234; Wayne County; Michigan";2307
"26163523800";"Census Tract 5238; Wayne County; Michigan";4078
"26163524001";"Census Tract 5240.01; Wayne County; Michigan";2538
"26163524101";"Census Tract 5241.01; Wayne County; Michigan";3484
"26163524200";"Census Tract 5242; Wayne County; Michigan";4660
"26163524300";"Census Tract 5243; Wayne County; Michigan";2398
"26163524500";"Census Tract 5245; Wayne County; Michigan";101
"26163524600";"Census Tract 5246; Wayne County; Michigan";1676
"26163524700";"Census Tract 5247; Wayne County; Michigan";3732
"26163524800";"Census Tract 5248; Wayne County; Michigan";2827
"26163525400";"Census Tract 5254; Wayne County; Michigan";2086
"26163525700";"Census Tract 5257; Wayne County; Michigan";4395
"26163525800";"Census Tract 5258; Wayne County; Michigan";1953
"26163525900";"Census Tract 5259; Wayne County; Michigan";2428
"26163526000";"Census Tract 5260; Wayne County; Michigan";2805
"26163526100";"Census Tract 5261; Wayne County; Michigan";2748
"26163526200";"Census Tract 5262; Wayne County; Michigan";2799
"26163526300";"Census Tract 5263; Wayne County; Michigan";3093
"26163526400";"Census Tract 5264; Wayne County; Michigan";1404
"26163526500";"Census Tract 5265; Wayne County; Michigan";1295
"26163527900";"Census Tract 5279; Wayne County; Michigan";1980
"26163530100";"Census Tract 5301; Wayne County; Michigan";2716
"26163530200";"Census Tract 5302; Wayne County; Michigan";3825
"26163530300";"Census Tract 5303; Wayne County; Michigan";1474
"26163530400";"Census Tract 5304; Wayne County; Michigan";1186
"26163530500";"Census Tract 5305; Wayne County; Michigan";1879
"26163530800";"Census Tract 5308; Wayne County; Michigan";1282
"26163530900";"Census Tract 5309; Wayne County; Michigan";1138
"26163531100";"Census Tract 5311; Wayne County; Michigan";1143
"26163531200";"Census Tract 5312; Wayne County; Michigan";2372
"26163531300";"Census Tract 5313; Wayne County; Michigan";1170
"26163531400";"Census Tract 5314; Wayne County; Michigan";1465
"26163531501";"Census Tract 5315.01; Wayne County; Michigan";1479
"26163531502";"Census Tract 5315.02; Wayne County; Michigan";823
"26163531600";"Census Tract 5316; Wayne County; Michigan";1843
"26163531700";"Census Tract 5317; Wayne County; Michigan";1133
"26163531800";"Census Tract 5318; Wayne County; Michigan";1287
"26163531900";"Census Tract 5319; Wayne County; Michigan";743
"26163532100";"Census Tract 5321; Wayne County; Michigan";2182
"26163532400";"Census Tract 5324; Wayne County; Michigan";1286
"26163532600";"Census Tract 5326; Wayne County; Michigan";2398
"26163532700";"Census Tract 5327; Wayne County; Michigan";437
"26163533000";"Census Tract 5330; Wayne County; Michigan";1541
"26163533100";"Census Tract 5331; Wayne County; Michigan";1595
"26163533200";"Census Tract 5332; Wayne County; Michigan";1033
"26163533300";"Census Tract 5333; Wayne County; Michigan";1249
"26163533400";"Census Tract 5334; Wayne County; Michigan";1592
"26163533600";"Census Tract 5336; Wayne County; Michigan";1421
"26163533800";"Census Tract 5338; Wayne County; Michigan";1694
"26163533900";"Census Tract 5339; Wayne County; Michigan";2561
"26163534100";"Census Tract 5341; Wayne County; Michigan";1594
"26163534200";"Census Tract 5342; Wayne County; Michigan";3201
"26163534300";"Census Tract 5343; Wayne County; Michigan";1035
"26163534400";"Census Tract 5344; Wayne County; Michigan";1677
"26163534700";"Census Tract 5347; Wayne County; Michigan";2694
"26163534800";"Census Tract 5348; Wayne County; Michigan";1961
"26163535000";"Census Tract 5350; Wayne County; Michigan";2770
"26163535100";"Census Tract 5351; Wayne County; Michigan";1477
"26163535200";"Census Tract 5352; Wayne County; Michigan";1973
"26163535300";"Census Tract 5353; Wayne County; Michigan";3769
"26163535600";"Census Tract 5356; Wayne County; Michigan";4663
"26163535700";"Census Tract 5357; Wayne County; Michigan";1344
"26163535800";"Census Tract 5358; Wayne County; Michigan";4423
"26163536100";"Census Tract 5361; Wayne County; Michigan";3270
"26163536200";"Census Tract 5362; Wayne County; Michigan";2123
"26163536300";"Census Tract 5363; Wayne County; Michigan";2383
"26163536400";"Census Tract 5364; Wayne County; Michigan";2442
"26163536500";"Census Tract 5365; Wayne County; Michigan";1986
"26163536600";"Census Tract 5366; Wayne County; Michigan";2466
"26163536700";"Census Tract 5367; Wayne County; Michigan";1047
"26163536800";"Census Tract 5368; Wayne County; Michigan";1818
"26163536900";"Census Tract 5369; Wayne County; Michigan";3086
"26163537000";"Census Tract 5370; Wayne County; Michigan";3146
"26163537100";"Census Tract 5371; Wayne County; Michigan";2220
"26163537200";"Census Tract 5372; Wayne County; Michigan";620
"26163537300";"Census Tract 5373; Wayne County; Michigan";1646
"26163537500";"Census Tract 5375; Wayne County; Michigan";2921
"26163537600";"Census Tract 5376; Wayne County; Michigan";3447
"26163537700";"Census Tract 5377; Wayne County; Michigan";2558
"26163537800";"Census Tract 5378; Wayne County; Michigan";1308
"26163538100";"Census Tract 5381; Wayne County; Michigan";2205
"26163538200";"Census Tract 5382; Wayne County; Michigan";1808
"26163538300";"Census Tract 5383; Wayne County; Michigan";2010
"26163538400";"Census Tract 5384; Wayne County; Michigan";4145
"26163538500";"Census Tract 5385; Wayne County; Michigan";5364
"26163538600";"Census Tract 5386; Wayne County; Michigan";5888
"26163538700";"Census Tract 5387; Wayne County; Michigan";3450
"26163538800";"Census Tract 5388; Wayne County; Michigan";2091
"26163538900";"Census Tract 5389; Wayne County; Michigan";3327
"26163539000";"Census Tract 5390; Wayne County; Michigan";2838
"26163539100";"Census Tract 5391; Wayne County; Michigan";1941
"26163539200";"Census Tract 5392; Wayne County; Michigan";4582
"26163539300";"Census Tract 5393; Wayne County; Michigan";4504
"26163539400";"Census Tract 5394; Wayne County; Michigan";3764
"26163539500";"Census Tract 5395; Wayne County; Michigan";3033
"26163539600";"Census Tract 5396; Wayne County; Michigan";3022
"26163539700";"Census Tract 5397; Wayne County; Michigan";2251
"26163540100";"Census Tract 5401; Wayne County; Michigan";3223
"26163540200";"Census Tract 5402; Wayne County; Michigan";2784
"26163540300";"Census Tract 5403; Wayne County; Michigan";4170
"26163540400";"Census Tract 5404; Wayne County; Michigan";2663
"26163540500";"Census Tract 5405; Wayne County; Michigan";2574
"26163540600";"Census Tract 5406; Wayne County; Michigan";3092
"26163540700";"Census Tract 5407; Wayne County; Michigan";3258
"26163540800";"Census Tract 5408; Wayne County; Michigan";2090
"26163540900";"Census Tract 5409; Wayne County; Michigan";3325
"26163541000";"Census Tract 5410; Wayne County; Michigan";4253
"26163541100";"Census Tract 5411; Wayne County; Michigan";1814
"26163541200";"Census Tract 5412; Wayne County; Michigan";2027
"26163541300";"Census Tract 5413; Wayne County; Michigan";2605
"26163541400";"Census Tract 5414; Wayne County; Michigan";2739
"26163541500";"Census Tract 5415; Wayne County; Michigan";3871
"26163541700";"Census Tract 5417; Wayne County; Michigan";2517
"26163541800";"Census Tract 5418; Wayne County; Michigan";2394
"26163542100";"Census Tract 5421; Wayne County; Michigan";4536
"26163542200";"Census Tract 5422; Wayne County; Michigan";3779
"26163542300";"Census Tract 5423; Wayne County; Michigan";2570
"26163542400";"Census Tract 5424; Wayne County; Michigan";2275
"26163542500";"Census Tract 5425; Wayne County; Michigan";2494
"26163542600";"Census Tract 5426; Wayne County; Michigan";3323
"26163542900";"Census Tract 5429; Wayne County; Michigan";3730
"26163543000";"Census Tract 5430; Wayne County; Michigan";1872
"26163543100";"Census Tract 5431; Wayne County; Michigan";2259
"26163543200";"Census Tract 5432; Wayne County; Michigan";3041
"26163543300";"Census Tract 5433; Wayne County; Michigan";3871
"26163543400";"Census Tract 5434; Wayne County; Michigan";4009
"26163543500";"Census Tract 5435; Wayne County; Michigan";1061
"26163543700";"Census Tract 5437; Wayne County; Michigan";2168
"26163543900";"Census Tract 5439; Wayne County; Michigan";970
"26163544000";"Census Tract 5440; Wayne County; Michigan";2561
"26163544100";"Census Tract 5441; Wayne County; Michigan";2725
"26163544200";"Census Tract 5442; Wayne County; Michigan";1615
"26163544300";"Census Tract 5443; Wayne County; Michigan";2449
"26163544800";"Census Tract 5448; Wayne County; Michigan";1639
"26163545100";"Census Tract 5451; Wayne County; Michigan";623
"26163545200";"Census Tract 5452; Wayne County; Michigan";2309
"26163545500";"Census Tract 5455; Wayne County; Michigan";3973
"26163545600";"Census Tract 5456; Wayne County; Michigan";4687
"26163545700";"Census Tract 5457; Wayne County; Michigan";3186
"26163545800";"Census Tract 5458; Wayne County; Michigan";5541
"26163545900";"Census Tract 5459; Wayne County; Michigan";4380
"26163546000";"Census Tract 5460; Wayne County; Michigan";2723
"26163546100";"Census Tract 5461; Wayne County; Michigan";3722
"26163546201";"Census Tract 5462.01; Wayne County; Michigan";3308
"26163546301";"Census Tract 5463.01; Wayne County; Michigan";1523
"26163546600";"Census Tract 5466; Wayne County; Michigan";1764
"26163546700";"Census Tract 5467; Wayne County; Michigan";2828
"26163547000";"Census Tract 5470; Wayne County; Michigan";3160
"26163547100";"Census Tract 5471; Wayne County; Michigan";4141
"26163547200";"Census Tract 5472; Wayne County; Michigan";3852
"26163981700";"Census Tract 9817; Wayne County; Michigan";0
"26163981800";"Census Tract 9818; Wayne County; Michigan";0
"26163983600";"Census Tract 9836; Wayne County; Michigan";0
"26163984100";"Census Tract 9841; Wayne County; Michigan";0
"26163984200";"Census Tract 9842; Wayne County; Michigan";0
"26163985000";"Census Tract 9850; Wayne County; Michigan";0
"26163985100";"Census Tract 9851; Wayne County; Michigan";471
"26163985200";"Census Tract 9852; Wayne County; Michigan";0
"26163985300";"Census Tract 9853; Wayne County; Michigan";193
"26163985500";"Census Tract 9855; Wayne County; Michigan";0
"26163985800";"Census Tract 9858; Wayne County; Michigan";0
"26163985900";"Census Tract 9859; Wayne County; Michigan";0
