"GEOID";"pop_white0";"pop_black0";"pop_asian0";"pop_other0";"pop_latino0";"p_white0";"p_black0";"p_asian0";"p_latino0";"p_other0"
"26163500100";122;3354;0;128;18;0.033683048039757;0.926007730535616;0;0.00496963003865268;0.0353395913859746
"26163500200";71;2369;0;55;54;0.0278540604158494;0.929384072185171;0;0.0211847783444488;0.0215770890545312
"26163500300";73;1558;0;47;1;0.0434782608695652;0.927933293627159;0;0.000595592614651578;0.0279928528886242
"26163500400";25;1188;0;10;0;0.0204415372035977;0.971381847914963;0;0;0.00817661488143908
"26163500500";59;1088;18;5;0;0.0504273504273504;0.92991452991453;0.0153846153846154;0;0.00427350427350427
"26163500600";19;2682;0;3;0;0.00702662721893491;0.991863905325444;0;0;0.0011094674556213
"26163500700";146;3875;0;254;43;0.0338119499768411;0.897406206577119;0;0.00995831403427513;0.0588235294117647
"26163500800";125;2337;0;0;0;0.0507717303005686;0.949228269699431;0;0;0
"26163500900";46;3727;1;72;31;0.0118648439515089;0.961310291462471;0.000257931390250193;0.007995873097756;0.0185710600980139
"26163501000";4;3036;0;16;0;0.00130890052356021;0.993455497382199;0;0;0.00523560209424084
"26163501100";1;2643;0;53;138;0.000352733686067019;0.932275132275132;0;0.0486772486772487;0.018694885361552
"26163501200";6;1304;0;0;0;0.00458015267175573;0.995419847328244;0;0;0
"26163501300";93;3254;0;64;20;0.027105800058292;0.948411541824541;0;0.00582920431361119;0.0186534538035558
"26163501400";560;2616;0;129;0;0.169440242057489;0.791527987897126;0;0;0.0390317700453858
"26163501500";257;3885;0;159;2;0.0597257727167093;0.902858470834302;0;0.000464792005577504;0.0369509644434116
"26163501600";151;1568;0;126;23;0.0808351177730193;0.839400428265525;0;0.0123126338329764;0.0674518201284797
"26163501700";476;1216;0;19;45;0.271070615034169;0.69248291571754;0;0.025626423690205;0.0108200455580866
"26163501800";1130;2925;25;204;112;0.25705186533212;0.665377616014559;0.0056869881710646;0.0254777070063694;0.0464058234758872
"26163501900";193;2353;0;6;29;0.0747772181325068;0.911662146454862;0;0.0112359550561798;0.00232468035645099
"26163502000";38;1733;0;130;0;0.0199894792214624;0.911625460284061;0;0;0.0683850604944766
"26163502600";23;3208;0;93;75;0.00676669608708444;0.943807002059429;0;0.0220653133274493;0.0273609885260371
"26163502700";25;2363;0;7;0;0.0104384133611691;0.986638830897704;0;0;0.00292275574112735
"26163503100";86;2996;0;36;8;0.0275111964171465;0.958413307741523;0;0.00255918106206014;0.0115163147792706
"26163503200";248;2034;0;33;0;0.107127429805616;0.878617710583153;0;0;0.0142548596112311
"26163503300";54;3038;71;0;62;0.0167441860465116;0.942015503875969;0.022015503875969;0.0192248062015504;0
"26163503400";35;589;21;69;0;0.0490196078431373;0.824929971988795;0.0294117647058824;0;0.0966386554621849
"26163503500";9;1851;104;0;0;0.00458248472505092;0.942464358452138;0.0529531568228106;0;0
"26163503600";35;1363;21;0;1;0.0246478873239437;0.959859154929578;0.0147887323943662;0.000704225352112676;0
"26163503900";125;1966;0;7;0;0.059580552907531;0.937082936129647;0;0;0.00333651096282174
"26163504000";27;1081;0;11;0;0.0241286863270777;0.966041108132261;0;0;0.00983020554066131
"26163504100";0;1367;0;0;0;0;1;0;0;0
"26163504200";23;1802;0;16;0;0.0124932102118414;0.978815860945139;0;0;0.0086909288430201
"26163504300";71;1895;0;3;0;0.0360589131538852;0.962417470797359;0;0;0.00152361604875571
"26163504400";12;1658;0;20;0;0.00710059171597633;0.981065088757396;0;0;0.0118343195266272
"26163505100";165;2676;0;48;0;0.0571131879543094;0.926272066458982;0;0;0.0166147455867082
"26163505200";128;3091;0;34;120;0.0379484138748888;0.916394900681886;0;0.0355766380077083;0.0100800474355173
"26163505400";44;1910;0;0;0;0.022517911975435;0.977482088024565;0;0;0
"26163505600";62;4171;0;13;0;0.0146019783325483;0.982336316533208;0;0;0.00306170513424399
"26163505700";211;2609;15;32;252;0.0676498877845463;0.836486053222187;0.00480923372875922;0.0807951266431549;0.010259698621353
"26163505800";1560;1436;16;424;0;0.454016298020955;0.417927823050058;0.00465657741559953;0;0.123399301513388
"26163506100";99;1834;0;5;48;0.0498489425981873;0.923464249748238;0;0.0241691842900302;0.00251762336354481
"26163506200";36;2034;41;0;0;0.0170535291331123;0.963524396020843;0.0194220748460445;0;0
"26163506300";59;1513;0;15;7;0.0370138017565872;0.949184441656211;0;0.00439146800501882;0.00941028858218319
"26163506400";215;1261;4;14;35;0.140614780902551;0.824722040549379;0.0026160889470242;0.0228907782864617;0.0091563113145847
"26163506500";150;1655;0;17;26;0.0811688311688312;0.895562770562771;0;0.0140692640692641;0.0091991341991342
"26163506600";53;2615;125;13;43;0.0186030186030186;0.917865917865918;0.0438750438750439;0.0150930150930151;0.00456300456300456
"26163506700";9;1224;0;0;16;0.00720576461168935;0.979983987189752;0;0.0128102481985588;0
"26163506800";60;4078;0;86;43;0.0140614014530115;0.955706585423014;0;0.0100773377079916;0.0201546754159831
"26163506900";92;3259;0;56;43;0.0266666666666667;0.94463768115942;0;0.012463768115942;0.016231884057971
"26163507000";88;2640;0;3;9;0.0321167883211679;0.963503649635037;0;0.00328467153284672;0.00109489051094891
"26163507100";1;1635;0;81;1;0.000582072176949942;0.951688009313155;0;0.000582072176949942;0.0471478463329453
"26163507200";7;1325;0;5;5;0.00521609538002981;0.987332339791356;0;0.003725782414307;0.003725782414307
"26163507300";16;1509;0;66;17;0.00995024875621891;0.938432835820896;0;0.0105721393034826;0.041044776119403
"26163507400";33;2592;0;1;13;0.0125047366426677;0.982190223569534;0;0.00492610837438424;0.000378931413414172
"26163507500";57;1965;38;0;0;0.0276699029126214;0.953883495145631;0.0184466019417476;0;0
"26163508000";242;891;0;10;0;0.21172353455818;0.779527559055118;0;0;0.00874890638670166
"26163508100";26;1052;22;165;191;0.0178571428571429;0.722527472527473;0.0151098901098901;0.131181318681319;0.113324175824176
"26163509000";164;1162;0;36;101;0.112098427887902;0.794258373205742;0;0.0690362269309638;0.024606971975393
"26163509100";569;745;2806;356;0;0.127122430741734;0.166443252904379;0.626899016979446;0;0.0795352993744415
"26163510600";1380;1249;2394;88;60;0.266872945271708;0.241539354090118;0.462966544188745;0.0116031715335525;0.017017984915877
"26163511200";139;881;22;101;6;0.120974760661445;0.766753698868581;0.0191470844212359;0.00522193211488251;0.0879025239338555
"26163511300";1404;1053;50;265;0;0.506493506493506;0.37987012987013;0.018037518037518;0;0.0955988455988456
"26163511400";436;1216;22;150;53;0.232285562067128;0.647842301545019;0.011720831113479;0.028236547682472;0.079914757591902
"26163511900";292;694;29;15;74;0.264492753623188;0.628623188405797;0.026268115942029;0.0670289855072464;0.0135869565217391
"26163512800";95;2151;0;24;171;0.0389184760344121;0.881196231052847;0;0.0700532568619418;0.00983203605079885
"26163513200";244;1243;12;54;0;0.157115260785576;0.800386349001932;0.0077269800386349;0;0.034771410173857
"26163513300";465;1723;0;55;39;0.203768624014023;0.755039439088519;0;0.0170902716914987;0.0241016652059597
"26163513700";57;3184;9;65;9;0.0171480144404332;0.957882069795427;0.00270758122743682;0.00270758122743682;0.0195547533092659
"26163513800";203;2193;0;90;12;0.0812650120096077;0.877902321857486;0;0.00480384307445957;0.0360288230584468
"26163513900";74;1405;0;30;0;0.049039098740888;0.931080185553347;0;0;0.0198807157057654
"26163514100";137;2205;0;30;31;0.0570120682480233;0.917602996254682;0;0.0129005409904286;0.0124843945068664
"26163514200";166;1591;0;0;38;0.0924791086350975;0.886350974930362;0;0.0211699164345404;0
"26163514300";109;2542;6;5;6;0.0408545727136432;0.952773613193403;0.00224887556221889;0.00224887556221889;0.00187406296851574
"26163514500";61;670;0;13;0;0.081989247311828;0.900537634408602;0;0;0.0174731182795699
"26163515200";260;1151;0;4;33;0.179558011049724;0.794889502762431;0;0.0227900552486188;0.00276243093922652
"26163515300";633;2314;0;300;23;0.193577981651376;0.707645259938838;0;0.00703363914373089;0.0917431192660551
"26163515400";945;459;23;33;11;0.642420122365738;0.312032630863358;0.0156356220258328;0.00747790618626785;0.0224337185588035
"26163515700";499;2471;0;17;47;0.164469347396177;0.814436387607119;0;0.0154911008569545;0.00560316413974951
"26163516000";242;1922;14;216;14;0.100498338870432;0.798172757475083;0.00581395348837209;0.00581395348837209;0.0897009966777409
"26163516400";183;555;27;98;30;0.204927211646137;0.621500559910414;0.0302351623740202;0.0335946248600224;0.109742441209406
"26163516500";742;1109;98;83;63;0.35417661097852;0.529355608591885;0.0467780429594272;0.0300715990453461;0.039618138424821
"26163516600";42;1949;9;51;0;0.0204778156996587;0.950268161872257;0.00438810336421258;0;0.0248659190638713
"26163516700";22;3077;0;10;0;0.00707623029913155;0.989707301383081;0;0;0.00321646831778707
"26163516800";150;809;0;33;0;0.151209677419355;0.815524193548387;0;0;0.0332661290322581
"26163516900";166;1952;0;135;0;0.0736795383932534;0.866400355082113;0;0;0.0599201065246338
"26163517000";1221;1242;341;46;46;0.421616022099448;0.428867403314917;0.11774861878453;0.0158839779005525;0.0158839779005525
"26163517100";337;713;88;17;25;0.285593220338983;0.604237288135593;0.0745762711864407;0.0211864406779661;0.0144067796610169
"26163517200";827;1203;67;135;100;0.354631217838765;0.515866209262436;0.0287307032590051;0.0428816466552316;0.0578902229845626
"26163517300";666;1449;52;80;39;0.291338582677165;0.633858267716535;0.0227471566054243;0.0170603674540682;0.0349956255468067
"26163517500";498;1750;223;58;51;0.193023255813953;0.678294573643411;0.0864341085271318;0.0197674418604651;0.0224806201550388
"26163518000";848;1293;175;19;145;0.341935483870968;0.521370967741935;0.0705645161290323;0.0584677419354839;0.00766129032258064
"26163518900";45;1830;0;39;12;0.0233644859813084;0.950155763239875;0;0.00623052959501558;0.0202492211838006
"26163519000";108;713;0;29;2;0.126760563380282;0.836854460093897;0;0.00234741784037559;0.034037558685446
"26163519100";231;770;18;26;40;0.212903225806452;0.709677419354839;0.0165898617511521;0.0368663594470046;0.023963133640553
"26163519200";134;1366;78;32;0;0.0832298136645963;0.848447204968944;0.0484472049689441;0;0.0198757763975155
"26163519300";356;1149;0;84;9;0.222778473091364;0.719023779724656;0;0.00563204005006258;0.0525657071339174
"26163520200";1312;613;525;131;100;0.489369638194703;0.228646027601641;0.195822454308094;0.0372995151063036;0.0488623647892577
"26163520300";1026;851;382;155;74;0.412379421221865;0.342041800643087;0.153536977491961;0.0297427652733119;0.0622990353697749
"26163520400";292;951;72;242;50;0.18170504044804;0.591785936527691;0.044803982576229;0.0311138767890479;0.150591163658992
"26163520700";1249;1117;270;113;130;0.433831191385898;0.387981938172977;0.093782563390066;0.0451545675581799;0.0392497394928795
"26163520800";560;754;186;0;48;0.361757105943152;0.487080103359173;0.12015503875969;0.0310077519379845;0
"26163521100";493;262;0;195;648;0.308510638297872;0.1639549436796;0;0.405506883604506;0.122027534418023
"26163521400";492;401;52;68;194;0.407622203811102;0.332228666114333;0.0430820215410108;0.16072908036454;0.0563380281690141
"26163521500";321;614;0;47;151;0.283318623124448;0.541924095322154;0;0.133274492497793;0.0414827890556046
"26163521800";47;1523;0;14;174;0.0267349260523322;0.866325369738339;0;0.0989761092150171;0.00796359499431172
"26163521900";1367;1151;61;72;127;0.492080633549316;0.414326853851692;0.0219582433405328;0.0457163426925846;0.0259179265658747
"26163522000";50;1586;0;11;0;0.0303582270795386;0.962962962962963;0;0;0.00667880995749848
"26163522300";6;1106;0;34;31;0.00509770603228547;0.939677145284622;0;0.0263381478334749;0.0288870008496177
"26163522400";183;676;5;7;11;0.207482993197279;0.766439909297052;0.00566893424036281;0.0124716553287982;0.00793650793650794
"26163522500";380;1272;0;39;42;0.219272937103289;0.73398730525101;0;0.0242354298903635;0.0225043277553376
"26163522800";115;1002;0;47;195;0.0846210448859455;0.737306843267108;0;0.143487858719647;0.0345842531272995
"26163523100";289;189;0;3;866;0.214550853749072;0.140311804008909;0;0.642910170749814;0.0022271714922049
"26163523200";454;41;0;142;2347;0.152144772117962;0.0137399463806971;0;0.786528150134048;0.0475871313672922
"26163523300";238;191;0;14;2479;0.08145106091718;0.0653661875427789;0;0.84839151266256;0.00479123887748118
"26163523400";390;800;0;98;1019;0.169050715214564;0.346770697876029;0;0.441699176419593;0.0424794104898136
"26163523800";1008;111;0;50;2909;0.24717999019127;0.0272192251103482;0;0.713339872486513;0.0122609122118686
"26163524001";325;94;12;9;2098;0.128053585500394;0.037037037037037;0.00472813238770686;0.826635145784082;0.00354609929078014
"26163524101";564;356;11;75;2478;0.161882893226177;0.102181400688863;0.00315729047072331;0.711251435132032;0.0215269804822044
"26163524200";1094;177;1;15;3373;0.234763948497854;0.0379828326180257;0.000214592274678112;0.72381974248927;0.00321888412017167
"26163524300";424;51;0;20;1903;0.176814011676397;0.0212677231025855;0;0.793577981651376;0.00834028356964137
"26163524500";18;9;0;0;74;0.178217821782178;0.0891089108910891;0;0.732673267326733;0
"26163524600";496;164;0;198;818;0.295942720763723;0.0978520286396181;0;0.488066825775656;0.118138424821002
"26163524700";39;3478;0;39;176;0.0104501607717042;0.931939978563773;0;0.0471596998928189;0.0104501607717042
"26163524800";62;1966;0;362;437;0.0219313760169791;0.695436858860983;0;0.154580827732579;0.128050937389459
"26163525400";213;1034;0;160;679;0.102109300095877;0.49568552253116;0;0.325503355704698;0.0767018216682646
"26163525700";623;473;0;173;3126;0.141751990898749;0.107622298065984;0;0.711262798634812;0.0393629124004551
"26163525800";239;181;0;1;1532;0.122375832053251;0.0926779313876088;0;0.784434203789042;0.000512032770097286
"26163525900";89;413;38;33;1855;0.0366556836902801;0.170098846787479;0.0156507413509061;0.764003294892916;0.0135914332784185
"26163526000";1283;105;0;185;1232;0.457397504456328;0.0374331550802139;0;0.43921568627451;0.0659536541889483
"26163526100";1469;54;3;172;1050;0.534570596797671;0.0196506550218341;0.00109170305676856;0.382096069868996;0.0625909752547307
"26163526200";812;136;0;108;1743;0.290103608431583;0.0485887817077528;0;0.622722400857449;0.0385852090032154
"26163526300";391;177;0;20;2505;0.126414484319431;0.0572259941804074;0;0.809893307468477;0.00646621403168445
"26163526400";134;234;0;27;1009;0.0954415954415954;0.166666666666667;0;0.718660968660969;0.0192307692307692
"26163526500";14;1118;0;0;163;0.0108108108108108;0.863320463320463;0;0.125868725868726;0
"26163527900";87;1305;0;224;364;0.0439393939393939;0.659090909090909;0;0.183838383838384;0.113131313131313
"26163530100";217;2451;0;44;4;0.0798969072164948;0.902430044182622;0;0.00147275405007364;0.01620029455081
