"GEOID";"Employed";"LaborForce";"Unemployed"
"26163540800";924;983;59
"26163540900";1123;1264;141
"26163541000";1546;1807;261
"26163541100";596;641;45
"26163541200";550;819;269
"26163541300";1208;1375;167
"26163541400";708;966;258
"26163541500";1441;1631;190
"26163541700";1002;1304;302
"26163541800";1023;1154;131
"26163542100";1738;2021;283
"26163542200";1292;1416;124
"26163542300";570;1115;545
"26163542400";975;1062;87
"26163542500";1069;1257;188
"26163542600";1255;1486;231
"26163542900";1576;1824;248
"26163543000";1022;1068;46
"26163543100";984;1189;205
"26163543200";925;1060;135
"26163543300";1355;1466;90
"26163543400";1594;1817;223
"26163543500";235;310;75
"26163543700";684;775;91
"26163543900";317;405;88
"26163544000";1206;1368;162
"26163544100";1079;1358;279
"26163544200";574;705;131
"26163544300";1006;1028;22
"26163544800";627;822;195
"26163545100";190;345;155
"26163545200";667;785;118
"26163545500";1289;1496;207
"26163545600";1158;1700;542
"26163545700";981;1141;160
"26163545800";1987;2545;558
"26163545900";1814;2006;192
"26163546000";978;1143;165
"26163546100";1321;1490;169
"26163546201";1745;1799;54
"26163546301";492;557;65
"26163546600";622;815;193
"26163546700";1104;1299;195
"26163547000";1100;1325;225
"26163547100";1714;1857;143
"26163547200";1269;1671;402
"26163981700";0;0;0
"26163981800";0;0;0
"26163983600";0;0;0
"26163984100";0;0;0
"26163984200";0;0;0
"26163985000";0;0;0
"26163985100";75;94;19
"26163985200";0;0;0
"26163985300";152;159;7
"26163985500";0;0;0
"26163985800";0;0;0
"26163985900";0;0;0
