"GEOID";"Employed";"LaborForce";"Unemployed"
"26163500100";1089;1660;571
"26163500200";973;1238;265
"26163500300";620;1002;382
"26163500400";315;433;118
"26163500500";517;758;241
"26163500600";959;1434;475
"26163500700";1416;2294;852
"26163500800";746;1160;414
"26163500900";1267;1610;343
"26163501000";904;1396;492
"26163501100";941;1432;491
"26163501200";593;781;188
"26163501300";993;1395;402
"26163501400";1511;1866;341
"26163501500";1504;1999;495
"26163501600";683;867;184
"26163501700";608;896;288
"26163501800";1886;2340;454
"26163501900";1022;1283;261
"26163502000";731;1046;315
"26163503100";948;1257;309
"26163503200";843;1328;485
"26163503300";1236;1900;664
"26163503400";394;548;154
"26163503500";942;1352;410
"26163503600";566;800;234
"26163503900";570;860;290
"26163504000";514;614;100
"26163504100";415;554;139
"26163504200";645;910;265
"26163504300";683;883;200
"26163504400";396;642;246
"26163504700";365;603;238
"26163504800";318;521;203
"26163504900";960;1441;481
"26163505000";463;572;109
"26163505100";784;1188;404
"26163505200";1095;1717;622
"26163505400";579;912;333
"26163505500";276;593;317
"26163506100";553;886;333
"26163506200";546;995;449
"26163506300";668;942;274
"26163506400";464;595;131
"26163506500";691;1163;472
"26163506600";829;1142;313
"26163506700";413;711;298
"26163506800";1328;2070;742
"26163506900";1169;1866;697
"26163507000";768;1259;491
"26163507100";613;916;303
"26163507200";286;473;187
"26163507300";830;1059;229
"26163507400";1076;1299;223
"26163507500";773;1029;256
"26163507800";247;378;131
"26163507900";580;873;293
"26163508000";303;451;148
"26163508100";401;665;264
"26163510400";172;295;123
"26163510500";1040;1482;442
"26163510600";1161;1439;278
"26163510700";385;522;137
"26163511000";432;611;179
"26163511200";405;562;157
"26163511300";497;786;289
"26163511400";759;1141;382
"26163511900";408;784;376
"26163512100";1037;1409;372
"26163512200";190;388;198
"26163512300";281;499;218
"26163512400";299;509;210
"26163512600";412;551;139
"26163512900";316;451;135
"26163513200";447;647;200
"26163513300";810;984;170
"26163513600";402;523;121
"26163513700";965;1364;399
"26163513900";361;525;164
"26163514100";471;1060;589
"26163514200";694;1197;503
"26163514300";679;972;293
"26163514500";337;569;232
"26163515200";430;571;141
"26163515300";787;1143;356
"26163515400";621;704;83
"26163515600";381;544;163
"26163515700";1601;1756;155
"26163515900";315;465;150
"26163516000";584;907;323
"26163516100";61;117;56
"26163516200";232;390;158
"26163516300";164;286;122
"26163516400";481;563;82
"26163516500";750;885;135
"26163516600";591;848;257
"26163516700";1089;1441;343
"26163516800";260;387;127
"26163516900";728;968;240
"26163517000";1433;1662;229
"26163517100";391;487;96
"26163517200";611;721;105
"26163517300";592;866;274
"26163517500";608;819;211
"26163518000";820;1045;225
"26163518400";92;146;54
"26163518500";293;423;130
"26163518600";182;251;69
"26163518800";194;311;117
"26163518900";336;464;128
"26163520200";1121;1351;230
"26163520300";667;767;100
"26163520400";630;798;168
"26163520700";1164;1374;210
"26163520800";704;717;13
"26163521100";777;932;155
"26163521300";301;385;84
"26163521400";690;780;90
"26163521500";484;652;168
"26163521800";301;375;74
"26163521900";1209;1540;331
"26163522000";434;647;213
"26163522100";199;283;84
"26163522200";160;182;22
"26163522300";302;409;107
"26163522400";359;462;103
"26163522500";364;451;87
"26163523100";669;755;86
"26163523200";1250;1562;312
"26163523300";1500;1841;341
"26163523400";846;1135;289
"26163523800";1273;1655;382
"26163524000";771;1026;255
"26163524100";1095;1324;229
"26163524200";1798;2441;643
"26163524300";907;1102;195
"26163524500";217;298;76
"26163524700";1227;1599;372
"26163524800";640;923;283
"26163524900";421;566;145
"26163525000";339;371;32
"26163525400";675;875;200
"26163525500";278;452;174
"26163525600";503;707;204
"26163525700";2040;2587;547
"26163525800";480;728;248
"26163526000";690;917;227
"26163526100";692;963;271
"26163526200";892;1102;210
"26163526300";957;1199;242
"26163526400";495;807;312
"26163526500";517;788;271
"26163527200";172;373;201
"26163527300";208;328;120
"26163530100";566;928;362
"26163530200";1440;1770;330
"26163530300";453;654;201
"26163530400";516;692;176
"26163530500";772;1016;244
"26163530800";488;813;325
"26163530900";542;754;212
"26163531100";137;274;137
"26163531200";840;1171;331
"26163531300";431;625;194
"26163531400";479;577;98
"26163531500";729;1169;440
"26163531600";461;789;328
"26163531700";334;468;134
"26163531800";543;847;304
"26163531900";171;390;219
"26163532200";398;611;213
"26163532300";337;405;68
"26163532400";391;592;201
"26163532600";591;846;255
"26163532700";153;234;81
"26163533000";331;530;199
"26163533100";282;660;378
"26163533200";451;694;243
"26163533300";408;600;192
"26163533400";635;1124;489
"26163533500";285;431;146
"26163533600";563;821;258
"26163533700";245;310;65
"26163533900";1455;1623;168
"26163534100";633;927;294
"26163534200";1204;1771;567
"26163534300";380;629;249
"26163534400";439;631;192
"26163534500";213;297;84
"26163534600";562;760;198
"26163534700";842;1288;446
"26163535000";845;1200;355
"26163535100";530;754;224
"26163535200";828;1109;281
"26163535300";1409;1743;334
"26163535400";391;480;89
"26163535500";1085;1404;319
"26163535600";1185;1591;406
"26163535700";523;726;203
"26163536100";851;1153;302
"26163536200";596;738;142
"26163536300";688;1102;414
"26163536400";630;1027;397
"26163536500";796;945;149
"26163536600";787;1035;248
"26163536700";235;414;179
"26163536800";411;600;189
"26163536900";784;1144;360
"26163537000";908;1181;273
"26163537100";560;809;249
"26163537200";223;285;62
"26163537300";564;917;353
"26163537500";894;1061;167
"26163537600";1220;1375;155
"26163537700";957;1163;206
"26163537800";542;777;235
"26163538100";974;1221;247
"26163538200";949;1031;82
"26163538300";599;752;153
"26163538400";1705;2072;367
"26163538500";1371;2140;769
"26163538600";1965;2506;541
"26163538700";985;1420;435
"26163538800";618;848;230
"26163538900";1318;1509;191
"26163539000";768;1076;308
"26163539100";675;863;188
"26163539200";1324;1805;481
"26163539300";1239;1494;255
"26163539400";1017;1404;387
"26163539500";955;1215;260
"26163539600";968;1161;193
"26163539700";543;752;209
"26163540100";979;1460;481
"26163540200";860;1152;292
"26163540300";1166;1429;263
"26163540400";535;988;453
"26163540500";935;1524;589
"26163540600";956;1320;364
"26163540700";1314;1547;233
"26163540800";764;1087;323
"26163540900";1253;1532;279
"26163541000";1069;1654;585
"26163541100";741;1305;564
"26163541200";482;845;363
"26163541300";822;1174;352
"26163541400";816;989;173
"26163541500";1339;1767;428
"26163541700";666;879;213
"26163541800";942;1281;339
"26163542100";1549;1922;373
"26163542200";953;1407;454
"26163542300";654;836;182
"26163542400";767;1017;250
"26163542500";794;934;140
"26163542600";901;1182;281
"26163542700";358;481;123
"26163542800";941;1129;188
"26163542900";1391;1646;255
"26163543000";809;976;167
"26163543100";1142;1385;243
"26163543200";821;1186;365
"26163543400";957;1282;325
"26163543500";410;661;251
"26163543600";441;547;106
"26163543700";637;869;232
"26163543800";173;398;225
"26163543900";303;444;141
"26163544000";1033;1257;224
"26163544100";623;761;138
"26163544200";696;1009;313
"26163544300";934;1252;318
"26163545100";461;506;45
"26163545200";990;1260;270
"26163545300";615;747;132
"26163545400";211;319;108
"26163545500";1204;1669;465
"26163545600";922;1302;380
"26163545700";814;1060;246
"26163545800";1396;2165;769
"26163545900";1216;1586;358
"26163546000";1210;1656;446
"26163546100";1508;2054;546
"26163546200";1447;1663;216
"26163546300";760;906;146
"26163546400";422;644;222
"26163546500";573;943;370
"26163546600";600;883;283
"26163546700";1098;1415;317
"26163546800";1007;1394;387
"26163546900";319;435;116
"26163985000";0;0;0
"26163985100";103;108;5
"26163985200";0;0;0
"26163985300";0;0;0
"26163985500";0;0;0
"26163985900";0;0;0
