"GEOID";"NAME";"Population"
"26163500600";"Census Tract 5006, Wayne County, Michigan";3114
"26163504900";"Census Tract 5049, Wayne County, Michigan";3177
"26163507900";"Census Tract 5079, Wayne County, Michigan";1802
"26163513300";"Census Tract 5133, Wayne County, Michigan";2438
"26163516600";"Census Tract 5166, Wayne County, Michigan";2309
"26163518800";"Census Tract 5188, Wayne County, Michigan";807
"26163520400";"Census Tract 5204, Wayne County, Michigan";1772
"26163521500";"Census Tract 5215, Wayne County, Michigan";1529
"26163522100";"Census Tract 5221, Wayne County, Michigan";750
"26163525500";"Census Tract 5255, Wayne County, Michigan";1250
"26163505400";"Census Tract 5054, Wayne County, Michigan";2500
"26163505500";"Census Tract 5055, Wayne County, Michigan";1376
"26163508100";"Census Tract 5081, Wayne County, Michigan";1672
"26163511000";"Census Tract 5110, Wayne County, Michigan";2128
"26163511300";"Census Tract 5113, Wayne County, Michigan";1723
"26163511400";"Census Tract 5114, Wayne County, Michigan";2678
"26163513700";"Census Tract 5137, Wayne County, Michigan";3323
"26163514200";"Census Tract 5142, Wayne County, Michigan";2658
"26163515900";"Census Tract 5159, Wayne County, Michigan";1279
"26163516000";"Census Tract 5160, Wayne County, Michigan";2056
"26163517300";"Census Tract 5173, Wayne County, Michigan";2066
"26163518900";"Census Tract 5189, Wayne County, Michigan";1848
"26163522500";"Census Tract 5225, Wayne County, Michigan";1656
"26163511900";"Census Tract 5119, Wayne County, Michigan";1755
"26163524900";"Census Tract 5249, Wayne County, Michigan";1571
"26163525000";"Census Tract 5250, Wayne County, Michigan";1027
"26163523800";"Census Tract 5238, Wayne County, Michigan";4122
"26163524000";"Census Tract 5240, Wayne County, Michigan";3321
"26163524100";"Census Tract 5241, Wayne County, Michigan";3792
"26163525400";"Census Tract 5254, Wayne County, Michigan";2713
"26163525700";"Census Tract 5257, Wayne County, Michigan";5990
"26163526500";"Census Tract 5265, Wayne County, Michigan";2027
"26163530300";"Census Tract 5303, Wayne County, Michigan";2042
"26163531700";"Census Tract 5317, Wayne County, Michigan";1516
"26163532600";"Census Tract 5326, Wayne County, Michigan";2165
"26163532700";"Census Tract 5327, Wayne County, Michigan";722
"26163533200";"Census Tract 5332, Wayne County, Michigan";1594
"26163533700";"Census Tract 5337, Wayne County, Michigan";1096
"26163521900";"Census Tract 5219, Wayne County, Michigan";3044
