"GEOID";"pop_white0";"pop_black0";"pop_asian0";"pop_other0";"pop_latino0";"p_white0";"p_black0";"p_asian0";"p_latino0";"p_other0"
"26163510700";1074;269;46;398;7;0.59866220735786;0.149944258639911;0.0256410256410256;0.00390189520624303;0.221850613154961
"26163512200";47;1174;0;0;51;0.0369496855345912;0.922955974842767;0;0.0400943396226415;0
"26163512400";42;1235;0;27;0;0.0322085889570552;0.947085889570552;0;0;0.0207055214723926
"26163539100";117;1867;0;40;0;0.0578063241106719;0.922430830039526;0;0;0.0197628458498024
"26163541800";263;2145;28;78;0;0.10461416070008;0.853221957040573;0.0111376292760541;0;0.0310262529832936
"26163533400";28;2616;0;57;0;0.0103665309144761;0.968530174009626;0;0;0.0211032950758978
"26163535400";15;1576;7;0;0;0.00938673341677096;0.986232790988736;0.00438047559449312;0;0
"26163546800";198;3337;0;10;0;0.0558533145275035;0.94132581100141;0;0;0.00282087447108604
"26163513200";277;1293;0;88;67;0.160579710144928;0.749565217391304;0;0.0388405797101449;0.0510144927536232
"26163507500";151;1995;0;67;19;0.0676523297491039;0.893817204301075;0;0.00851254480286738;0.0300179211469534
"26163508000";160;965;0;51;0;0.136054421768707;0.820578231292517;0;0;0.0433673469387755
"26163514500";0;1299;0;9;0;0;0.993119266055046;0;0;0.00688073394495413
"26163515200";172;1357;15;13;19;0.109137055837563;0.861040609137056;0.00951776649746193;0.0120558375634518;0.00824873096446701
"26163516100";2;442;0;34;0;0.00418410041841004;0.924686192468619;0;0;0.0711297071129707
"26163516800";29;889;0;53;0;0.0298661174047374;0.915550978372812;0;0;0.0545829042224511
"26163520200";1007;424;607;150;45;0.450962830273175;0.189879086430811;0.271831616659203;0.0201522615315719;0.0671742051052396
"26163520300";470;449;319;40;198;0.318428184281843;0.30420054200542;0.216124661246612;0.134146341463415;0.02710027100271
"26163522000";97;1709;0;5;54;0.0520107238605898;0.916353887399464;0;0.0289544235924933;0.00268096514745308
"26163522300";79;1171;0;28;4;0.0616224648985959;0.913416536661466;0;0.0031201248049922;0.0218408736349454
"26163523300";626;137;0;20;3132;0.159897828863346;0.0349936143039591;0;0.8;0.00510855683269476
"26163543900";60;663;0;20;1;0.0806451612903226;0.891129032258065;0;0.00134408602150538;0.0268817204301075
"26163546500";0;1993;39;69;17;0;0.940982058545798;0.018413597733711;0.00802644003777148;0.0325779036827195
"26163507300";86;2200;0;41;0;0.0369574559518694;0.945423291792007;0;0;0.0176192522561238
"26163507400";66;2524;8;32;25;0.0248587570621469;0.950659133709981;0.00301318267419962;0.00941619585687382;0.0120527306967985
